basefreq = 261.63
R = Inf
range = Inf

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=1 :
S =

  0  1  2  3
  0  1  4  8

 [0,1,4,8] 	D = 3.6867
 [0,11,15,19] 	D = 1.6877
 [0,4,13,20] 	D = 2.1123
 [0,3,11,19] 	D = 2.2625
 [0,8,9,16] 	D = 2.5978
 [0,9,20,28] 	D = 1.6435
 [0,1,8,16] 	D = 2.6158
 [0,11,19,27] 	D = 1.4411
 [0,4,8,13] 	D = 2.4972
 [0,3,7,11] 	D = 2.8142
 [0,8,16,21] 	D = 1.7509
 [0,9,16,20] 	D = 1.7845
 [0,8,13,16] 	D = 2.0241
 [0,7,11,15] 	D = 2.0116
 [0,8,16,25] 	D = 1.4149
 [0,7,15,23] 	D = 1.3971
 [0,4,8,9] 	D = 3.3345
 [0,4,9,20] 	D = 2.3201
 [0,4,5,8] 	D = 3.7384
 [0,5,16,20] 	D = 1.9864
 [0,4,8,17] 	D = 2.4750
 [0,5,8,16] 	D = 2.4579
 [0,8,16,17] 	D = 2.5343
 [0,8,17,28] 	D = 1.7637

min, max, mean, stdev:
  1.39713  3.73844  2.26468  0.65695

Now computing dissonance for the inverse form:
S =

  4  7  8  0

 [0,4,7,8] 	D = 3.5743
 [0,8,15,16] 	D = 2.4643
 [0,7,16,20] 	D = 1.7684
 [0,3,8,16] 	D = 2.5749
 [0,5,9,13] 	D = 2.3707
 [0,9,17,25] 	D = 1.4492
 [0,4,8,19] 	D = 2.2662
 [0,8,16,27] 	D = 1.5776
 [0,7,8,16] 	D = 2.5852
 [0,3,4,8] 	D = 3.8549
 [0,5,13,21] 	D = 1.9311
 [0,9,13,17] 	D = 2.0173
 [0,8,16,19] 	D = 1.7680
 [0,4,8,15] 	D = 2.4061
 [0,8,19,28] 	D = 1.5671
 [0,4,15,20] 	D = 2.1507
 [0,1,5,9] 	D = 3.3726
 [0,1,9,17] 	D = 2.7327
 [0,4,8,11] 	D = 2.6926
 [0,8,16,23] 	D = 1.3871
 [0,4,11,20] 	D = 2.0970
 [0,8,11,16] 	D = 2.1496
 [0,11,16,20] 	D = 1.7550
 [0,11,20,28] 	D = 1.6523

min, max, mean, stdev:
  1.38713  3.85485  2.25687  0.65576

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=14 :
S =

  0  1  5  6

 [0,1,5,6] 	D = 4.3517
 [0,11,16,17] 	D = 2.7206
 [0,5,13,18] 	D = 2.4172
 [0,4,11,17] 	D = 2.4662
 [0,7,8,13] 	D = 2.9843
 [0,8,19,25] 	D = 1.6204
 [0,1,6,17] 	D = 3.1387
 [0,11,17,28] 	D = 1.8889
 [0,5,6,13] 	D = 3.1607
 [0,4,5,11] 	D = 3.3949
 [0,7,13,20] 	D = 2.1262
 [0,8,13,19] 	D = 2.0499
 [0,6,13,17] 	D = 2.2341
 [0,5,11,16] 	D = 2.3094
 [0,6,17,25] 	D = 1.7703
 [0,5,16,23] 	D = 1.9059
 [0,1,7,8] 	D = 3.7685
 [0,1,8,19] 	D = 2.8800
 [0,6,7,11] 	D = 3.1486
 [0,7,18,23] 	D = 1.6959
 [0,6,11,19] 	D = 2.1534
 [0,7,11,18] 	D = 2.2476
 [0,11,18,19] 	D = 2.5905
 [0,11,19,30] 	D = 1.6079

min, max, mean, stdev:
  1.60788  4.35166  2.52633  0.71137

------------------------------------------------------------
Now computing dissonance for class ID=15 :
S =

  0  1  5  7

 [0,1,5,7] 	D = 3.8245
 [0,11,16,18] 	D = 2.0795
 [0,5,13,19] 	D = 1.9154
 [0,4,11,18] 	D = 2.1810
 [0,7,8,14] 	D = 2.6727
 [0,8,19,26] 	D = 1.5377
 [0,1,7,17] 	D = 2.6951
 [0,11,18,28] 	D = 1.5706
 [0,5,7,13] 	D = 2.7701
 [0,4,6,11] 	D = 3.0249
 [0,7,14,20] 	D = 1.8783
 [0,8,14,19] 	D = 1.8096
 [0,7,13,17] 	D = 1.9271
 [0,6,11,16] 	D = 1.9979
 [0,7,17,25] 	D = 1.5771
 [0,6,16,23] 	D = 1.5168
