"Lower","Upper","Triadic HE","ct","pmax","triad"
450,1140,1.25900302117405,5,0.504332643792925,"10/13/25"
310,70,1.25949608134769,5,0.522417907946649,"16/19/20"
240,970,1.25971512036456,5,0.552270498149904,"7/8/14"
530,1000,1.25988545639898,5,0.559519253716676,"14/19/34"
570,890,1.26001586764763,6,0.60099796838099,"13/18/30"
620,390,1.26007104502434,6,0.581077355178652,"14/20/25"
1010,940,1.26042365995321,8,0.579509609547213,"10/18/31"
1050,1200,1.26061821137673,6,0.564887910261875,"6/11/22"
700,390,1.26153924963363,7,0.588914149085367,"8/12/15"
500,1020,1.26227476290812,5,0.592506748356757,"12/16/29"
940,210,1.26298731379892,5,0.602368509403713,"14/24/27"
990,560,1.26406589965072,4,0.493537788285364,"9/16/22"
400,850,1.26798588629675,5,0.553658424885659,"15/19/31"
